make,model,colour,capacity,network,grade,condition
AASTRA,6865I,Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",4
ABOOK,1720W,Working,"Grade B - Good Condition",4GB,Black,"Not Applicable",1
ACCESSORIZE,"UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Brand New","Brand New","Not Applicable",Multicolour,"Not Applicable",22
ACCESSORIZE,"UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Brand New","Brand New","Not Applicable",Multicolour,"Not Applicable",208
Acer,4551-P322G25MNSK,"Power On Tested-Good LCD",Unknown,2GB,Silver,"Not Applicable",1
Acer,4551-P322G25MSKN,Non-working,Unknown,2GB,Silver,"Not Applicable",1
Acer,4552-P322G32MNKK,"Power On Tested-Good LCD","Grade B - Good Condition",2GB,Black,"Not Applicable",1
Acer,4820-382G25MNKS,Non-working,Unknown,2GB,Black,"Not Applicable",1
Acer,4820-38G2MNKS,Non-working,Unknown,2GB,Black,"Not Applicable",1
Acer,4830-2332G32MNKK,Non-working,Unknown,2GB,Black,"Not Applicable",2
Acer,5253-E353G32MNKK,Non-working,Unknown,2GB,Black,"Not Applicable",2
Acer,5334-333G37MNKK,Non-working,"Grade C - Acceptable Condition",3GB,Black,"Not Applicable",1
Acer,5349,Working,"Grade B - Good Condition",2GB,Black,"Not Applicable",1
Acer,"ACER ASPIRE ES1-531",Working,"Grade A - Very Good Condition",4GB,Black,"Not Applicable",1
Acer,"Acer Aspire V5-571 15.6-inch Laptop - Silver (Intel Core i3 2365M 1.4GHz, 4GB RAM, 500GB HDD, DVDSM DL, LAN, WLAN, BT, Webcam, Integrated Graphics, Windows 8 64-bit)",Working,"Grade A - Very Good Condition",4GB,"Aluminium Silver","Not Applicable",1
Acer,"Acer ICONIA W5/KDI Intel atom z2760 (1.8Ghz 2x), Win 8 32 bit,RAM 2GB HDD 64GB",Working,"Grade B - Good Condition",2GB,Silver,"Not Applicable",3
Acer,AL1716E,Working,"Grade B - Good Condition","Not Applicable",Silver,"Not Applicable",1
Acer,AL1951,Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",2
Acer,"ASPIRE 4820 - INTEL CORE I3-380M, 2.53GHZ, 2GB RAM, 250GB HDD",Working,"Grade B - Good Condition",2GB,Black,"Not Applicable",1
Acer,"ASPIRE 5250",Working,"Grade B - Good Condition",4GB,Grey,"Not Applicable",3
Acer,"ASPIRE 5253",Working,"Grade B - Good Condition",4GB,Black,"Not Applicable",2
Acer,"ASPIRE 5741ZG/P6000",BER,"Not Graded","Not Applicable",Black,"Not Applicable",1
Acer,"ASPIRE 7530",Non-working,"Grade C - Acceptable Condition",4GB,Silver,"Not Applicable",2
Acer,"ASPIRE ONE CLOUDBOOK",Working,"Grade A - Very Good Condition",2GB,"Mocha gray","Not Applicable",1
Acer,"ASPIRE ONE NETBOOK D255 BONUS EXTRAS",Working,"Grade B - Good Condition",1GB,Black,"Not Applicable",1
Acer,"ASPIRE X3990",BER,"Grade B - Good Condition",4GB,Black,"Not Applicable",1
Acer,D255-13DGKK,Working,"Grade C - Acceptable Condition",1GB,Black,"Not Applicable",3
Acer,"EEE PC 1005HA",Non-working,"Grade C - Acceptable Condition",1GB,Black,"Not Applicable",1
Acer,"GO Z220+",Working,"Grade C - Acceptable Condition",8GB,Black,Unlocked,3
Acer,"ICONIA 8",Working,"Grade B - Good Condition","Not Applicable",Blue,"Not Applicable",1
Acer,"ICONIA A1-811",Working,"Grade A - Very Good Condition",16GB,White,Unlocked,7
Acer,"ICONIA A3 10.1","Brand New","Insurance Grade",16GB,White,"Not Applicable",1
Acer,"ICONIA A3-A11","Power On Tested-Good LCD",Unknown,16GB,Black,Damaged,1
Acer,"ICONIA ONE 10",Working,"Grade C - Acceptable Condition",16GB,White,"Not Applicable",1
Acer,"ICONIA W5","Power On Tested-Good LCD",Unknown,2GB,Silver,"Not Applicable",13
Acer,"JADE S",Working,"Grade B B2B",8GB,Black,Unlocked,6
Acer,"Liquid E2","Non-working - Need Battery","Grade A - Very Good Condition",2GB,Black,Unlocked,5
Acer,"LIQUID E3","Brand New","Insurance Grade",4GB,Black,Unlocked,5
Acer,"LIQUID E600","Brand New","Insurance Grade","Not Applicable",Black,Unlocked,4
Acer,"LIQUID EXPRESS E320","Non-working - Need Battery","Grade B - Good Condition","Not Applicable",Grey,Unlocked,5
Acer,"LIQUID GLOW E330","Non-working - Need Battery","Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,5
Acer,"LIQUID JADE S55","Brand New","Insurance Grade",8GB,White,Unlocked,4
Acer,"LIQUID JADE Z","Brand New","Insurance Grade",8GB,Black,Unlocked,2
Acer,"LIQUID S1","Non-working - Need Battery","Not Graded",8GB,Black,"EE Network",2
Acer,"LIQUID Z110","Non-working - Need Battery","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,24
Acer,"liquid z2",Working,"Grade B - Good Condition",2GB,Black,Unlocked,9
Acer,"LIQUID Z200","Non-working - Need Battery","Not Graded",4GB,Black,"EE Network",1
Acer,"LIQUID Z220",Working,"Grade A - Very Good Condition",8GB,Black,Unlocked,5
Acer,"liquid z4",Working,"Grade A - Very Good Condition",4GB,Black,Unlocked,13
Acer,"LIQUID Z410","Non-working - Need Battery","Not Graded",8GB,Black,"EE Network",2
Acer,"LIQUID Z5",Working,"Grade A - Very Good Condition",4GB,Grey,Unlocked,4
Acer,"Liquid Z5 Duo","Working - Minor Issue","Grade D",4GB,Grey,Unlocked,1
Acer,"LIQUID Z500",Working,"Grade A - Very Good Condition",4GB,Silver,Unlocked,3
Acer,"P223W - MONITOR",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
Acer,"V173 MONITOR",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",2
Acer,V193HQV,Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",2
ADMET,V10,BER-Scrap,"Grade C - Acceptable Condition","Not Applicable",Black,Damaged,1
Advent," 7113 1.73GHz 1GB RAM 80GB HDD 15.4 Inch",BER,"Not Graded","Not Applicable",Black,"Not Applicable",1
AEROFLEX,"9102 HANDHELD SPECTRUM ANALYZER -  HSA 9102B",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
AIRFORCE,"WATER PROOF POUCH","Brand New","Brand New","Not Applicable",Blue,"Not Applicable",24
AIRTIES,"AIR 4420-TV WIRELESS","Brand New","Insurance Grade","Not Applicable",Black,"Not Applicable",1
AKASA,"PROCESSOR COOLER - AK 785SE","Brand New","Insurance Grade","Not Applicable",Black,"Not Applicable",4
ALBA,AC50FNE,BER-Scrap,"Grade C - Acceptable Condition","Not Applicable",Black,Damaged,2
ALBA,ACF18,BER-Scrap,"Grade C - Acceptable Condition","Not Applicable",Black,O2,6
ALBA,ACF28,BER-Scrap,"Grade D","Not Applicable",Purple,Damaged,1
ALBA,ACSE2G,BER-Scrap,"Grade C - Acceptable Condition","Not Applicable",Black,Damaged,1
Alcatel," ONE TOUCH OT 983",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Alcatel,10.16,Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,67
Alcatel,"1010 TES BLK",Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,12
Alcatel,1010X,Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,50
Alcatel,1013X,Working,"Grade B - Good Condition","Not Applicable","Bluish Black",Unlocked,60
Alcatel,1016D,"Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",Black,Damaged,3
Alcatel,1016G,Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,550
Alcatel,1035,Working,"Grade A - Very Good Condition","Not Applicable",White,Unlocked,343
Alcatel,1035X,"Brand New","Insurance Grade","Not Applicable",Red,Unlocked,240
Alcatel,1040x,"Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",White,Damaged,1
Alcatel,1042X,Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,7
Alcatel,1052G,"Non-working - Need Battery Cover And Battery","Grade B - Good Condition","Not Applicable",Black,NOS-Portugal,31
Alcatel,1054X,"Non-working - Need Battery Cover And Battery","Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,6
Alcatel,132,"Power On Tested-Broken LCD","Grade C - Acceptable Condition","Not Applicable",Black,Damaged,1
Alcatel,"20 01 T BLK","Brand New","Insurance Grade","Not Applicable",Black,Unlocked,5
Alcatel,20.04,Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,15
Alcatel,20.05,Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,2
Alcatel,20.07,"Brand New","Insurance Grade","Not Applicable",Black,Unlocked,43
Alcatel,2000X,"Power On Tested-Good LCD","Grade B - Good Condition","Not Applicable",Black,Damaged,1
Alcatel,2001X,Non-working,Unknown,"Not Applicable",Black,NOS-Portugal,4
Alcatel,2004,Working,"Grade B B2B","Not Applicable",Black,Unlocked,26
Alcatel,2005,Working,"Grade D","Not Applicable",Black,Unlocked,1
Alcatel,2008G,"Non-working - DeBrand",Unknown,"Not Applicable",Black,Unlocked,25
Alcatel,2010G,Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,30
Alcatel,2012G,Working,"Grade C - Acceptable Condition","Not Applicable","DARK CHOCOLATE",NOS-Portugal,114
Alcatel,2045X,Working,"Grade A - Very Good Condition","Not Applicable",Black,O2,54
Alcatel,2051,Working,"Grade A - Very Good Condition","Not Applicable",Silver,Unlocked,27
Alcatel,30.03G,Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,2
Alcatel,3000G,Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Alcatel,3003g,Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,3
Alcatel,4013X,Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,110
Alcatel,4015x,Working,"Grade C - Acceptable Condition","Not Applicable",Blue,Unlocked,28
Alcatel,4030X,BER,"Grade D","Not Applicable",Black,Damaged,2
Alcatel,4033X,"Brand New","Insurance Grade",4GB,"Bluish Black",Unlocked,4
Alcatel,5050X,Working,"Grade A - Very Good Condition","Not Applicable",White,Unlocked,1
Alcatel,"8085 PLUS",Working,"Grade C - Acceptable Condition",2GB,White,"Not Applicable",4
Alcatel,"A3 10\" (9026X)",Working,"Grade A - Very Good Condition",16GB,White,Unlocked,1
Alcatel,"ALC PIXI 3 4IN BLK",Working,"Grade D","Not Applicable",Black,Unlocked,35
Alcatel,"ALCATEL 2010 BACK COVER","Brand New","Brand New","Not Applicable",Anthracite,"Not Applicable",10
